specimens,anp,deep_min,deep0,deep1,deep2,deep3,deep_max
AAW-L_humerus,79.01,125.0,138.49,128.54,125.28,126.01,146.66
ACD-L_humerus,6.57,15.72,16.2,16.43,19.3,23.68,26.0
AHE-L_humerus,68.62,115.76,123.33,120.29,118.36,116.59,125.77
AZ-L_humerus,15.97,88.43,91.81,90.99,90.27,89.18,92.33
BLL-L_humerus,46.54,72.76,84.86,73.53,74.62,77.8,97.44
BSO-R_humerus,1.23,26.83,29.83,27.01,27.85,30.8,33.12
CAB-L_humerus,81.65,118.51,128.45,123.53,120.89,119.3,131.66
CGP-R_humerus,61.97,115.48,145.67,131.7,121.26,116.04,153.3
CJB-L_humerus,6.16,55.82,68.02,61.14,58.39,56.76,73.87
EHW-L_humerus,87.08,125.61,137.19,130.2,127.5,126.07,144.57
FTJ-R_humerus,83.61,130.1,158.38,144.25,134.62,130.51,165.58
JAT-L_humerus,1.67,60.33,63.42,63.51,62.08,60.68,63.86
JBW-R_humerus,81.38,122.17,123.18,122.31,122.61,125.0,126.99
JDA-L_humerus,9.08,62.59,63.32,64.11,64.9,66.88,68.43
JDH-R_humerus,1.03,38.29,42.11,48.09,53.45,60.34,64.53
JRR-L_humerus,29.03,65.61,74.43,69.71,67.76,66.37,78.83
KG-L_humerus,85.29,120.09,128.62,120.77,120.99,124.29,137.4
KS-L_humerus,3.68,47.53,55.78,51.11,48.4,47.64,58.81
MM-R_humerus,85.75,133.94,160.98,143.61,136.43,134.11,175.53
NIS-L_humerus,14.66,69.82,80.18,73.98,70.92,69.89,84.6
NN-L_humerus,89.32,118.11,129.81,120.41,118.26,119.77,138.12
REC-L_humerus,82.21,113.8,121.91,118.93,117.33,115.3,124.41
RWM-R_humerus,55.61,55.82,62.38,67.92,68.98,68.65,69.05
WGW-L_humerus,0.44,58.18,64.27,59.85,58.33,58.49,67.75
WMM-R_humerus,84.35,122.44,146.66,128.86,123.07,123.01,160.28
